nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
poblacion total en iztacalco por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:40:33.382796,2024-07-19 19:37:18.116765,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/1c18e3a7-d22d-4ce9-ad50-a29464522c77/resource/dca8a1c0-ebb4-4d24-b1d4-b7bc8514a0cd/download/historicodetalle-poblacion-por-genero-iztacalco.csv
poblacion total en iztapalapa por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:44:34.602001,2024-07-19 19:38:00.285511,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/1e00ef5b-ff9b-464f-9ba2-84cea04e0979/resource/4b1b4b4f-fe38-4340-a060-fcc2e6756654/download/historicodetalle-poblacion-por-genero-iztapalapa.csv
poblacion total en la magdalena contreras por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:47:33.860435,2024-07-19 19:39:09.647663,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/01214d08-2051-4c2c-be3c-152835b510e4/resource/59cfa5ea-43db-48e4-96d0-4ef749d0174c/download/historicodetalle-poblacion-por-genero-magdalena.csv
poblacion total en miguel hidalgo por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 22:45:43.588107,2024-07-19 19:45:55.213847,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/9b13232d-b2f7-44be-8263-1b52c83c9442/resource/92aa0961-948a-46ed-825a-fb10edde3cb1/download/historicodetalle-poblacion-por-genero-mhidalgo.csv
poblacion total en milpa alta por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:50:16.197052,2024-07-19 19:40:09.299415,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/d180973f-6256-4e7f-817b-65a37b214dba/resource/5db65819-8143-47f2-a266-a9970fdaace0/download/historicodetalle-poblacion-por-genero-milpaa.csv
poblacion total en tlahuac por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:56:37.116295,2024-07-19 19:41:47.183505,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/b79edc17-f3ca-4da6-b6ba-5c8732225628/resource/1045a537-e680-4506-b27c-f6ea7cb49585/download/historicodetalle-poblacion-por-genero-tlahuac.csv
poblacion total en tlalpan por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 19:59:33.427509,2024-07-19 19:42:40.804063,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/cd3e35b0-6263-45ce-9fe7-69c54922570e/resource/5fe3f856-f1ba-4d18-a2db-b4cdce0b160a/download/historicodetalle-poblacion-por-genero-tlalpan.csv
poblacion total en venustiano carranza por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-11 16:25:03.806722,2024-07-19 19:46:43.783483,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/79deb5f7-9d85-4f57-9d4d-45227d754d05/resource/a00fa2fc-2c19-4d0f-9ab9-9ce462bfdda5/download/historicodetalle-poblacion-por-genero-venustianoc.csv
poblacion total en xochimilco por sexo,numero de personas clasificadas por sexo que habitan en un lugar determinado al momento de realizar el conteo.,,numero,2024-07-17 22:33:52.391566,2024-07-19 19:43:32.607054,no vinculado,no vinculado,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/c84e30cc-2707-46de-b8fa-a61e4feb69a1/resource/9b29fb6e-3a6b-48b9-b90f-d32e9fb0e07b/download/historicodetalle-poblacion-por-genero-xochimilco.csv
polos de desarrollo,total de polos de desarrollo en ctih en la ciudad de mexico.,ascendente,numero,2023-10-17 19:06:19.378385,2023-10-17 19:06:19.350554,derecho a la ciencia y a la innovacion tecnologica,"industria, innovacion e infraestructura",pdcti,anual,eficacia,gob cdmx,informe de gobierno de la ciudad de mexico,https://informedegobierno.cdmx.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/dc1cff7a-0215-4f9f-b4ba-d2f340557dc3/resource/8c32e49e-79e0-48f6-9af4-384b03d14264/download/historico-polos-de-desarrollo-1.csv
porcentaje de colonias donde las viviendas tienen acceso a espacio publico a menos de 10 minutos,"porcentaje de colonias con acceso a espacio publico a 10 minutos o menos, segun norma de la oms. los elementos utilizados para definir espacio publico son: jardin vecinal, bosque o parque regional, parque de barrio y parque urbano.",ascendente,porcentaje,2023-10-17 19:06:21.488074,2023-10-17 19:06:21.461817,derecho al espacio publico,ciudades y comunidades sostenibles,pgd,no determinada,eficacia,inegi,inventario de areas verdes,https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/042b6cf1-0766-4611-8a74-ca0d706635b7/resource/e18ca0c7-d875-47f0-bee2-8b0911ae2346/download/historico-porcentaje-de-colonias-donde-las-viviendas-tienen-acceso-a-espacio-publico-a-menos-de.csv
bienes inmuebles y muebles afectos al patrimonio cultural con una catalogacion debida y actual,"porcentaje de bienes inmuebles y muebles afectos al patrimonio cultural con una catalogacion debida, no mayor a 5 años, que incluya el estado de conservacion.",ascendente,porcentaje,2023-10-17 19:05:40.679720,2023-10-17 19:05:40.652683,derechos culturales,ciudades y comunidades sostenibles,pgot,no determinada,eficacia,"inah; , inbal;, seduvi","inah, inbal y seduvi",no disponible,https://indicadores.cdmx.gob.mx/dataset/d3371bd2-f18d-49d2-8ca7-9fb767972df3/resource/58c4295c-d83b-4fa6-b1db-52bbb2a47cff/download/historico-porcentaje-de-bienes-inmuebles-y-muebles-afectos-al-patrimonio-cultural-con-una-catal.csv
bienes inmuebles y muebles afectos al patrimonio cultural en buen estado,porcentaje de bienes inmuebles y muebles catalogados debidamente y en buen estado.,ascendente,porcentaje,2023-10-17 19:06:32.417539,2023-10-17 19:06:32.389806,derechos culturales,ciudades y comunidades sostenibles,pgot,no determinada,eficacia,"inah; , inbal;, seduvi","inah, inbal y seduvi",no disponible,https://indicadores.cdmx.gob.mx/dataset/b98aad05-4783-443b-8a8d-19486225b2be/resource/379e2f26-5edb-48a9-8b12-04725c035ef6/download/historico-porcentaje-de-bienes-inmuebles-y-muebles-afectos-al-patrimonio-cultural-en-buen-estad.csv
porcentaje de delitos con inicio de carpeta de investigacion que fue resuelta por reparacion del daño o porque se otorgo el perdon,porcentaje de delitos con inicio de carpeta de investigacion que fue resuelta por reparacion del daño o porque se otorgo el perdon.,ascendente,porcentaje,2023-10-17 19:05:42.994885,2023-12-08 08:50:40.944619,derecho a la reparacion integral,"paz, justicia e instituciones solidas",pgd,anual,eficacia,inegi,"inegi, encuesta nacional de victimizacion y percepcion sobre seguridad publica (envipe)",https://www.inegi.org.mx/programas/envipe/2023/,https://indicadores.cdmx.gob.mx/dataset/3cf4ddaf-3dcc-4f49-bc94-9432819144bd/resource/dffa11d2-ec78-412c-9291-0dfac0347c41/download/historico-porcentaje-de-delitos-con-inicio-de-carpeta-de-investigacion-que-fue-resuelta-por-rep.csv
porcentaje de delitos con inicio de carpeta de investigacion sin resolucion,porcentaje de delitos con inicio de carpeta de investigacion donde no se resolvio nada.,descendente,porcentaje,2023-10-17 19:05:24.134216,2024-06-21 18:53:18.343166,derecho de acceso a la justicia,"paz, justicia e instituciones solidas",pgd,anual,eficacia,inegi,"inegi, encuesta nacional de victimizacion y percepcion sobre seguridad publica (envipe)",https://www.inegi.org.mx/programas/envipe/2023/,https://indicadores.cdmx.gob.mx/dataset/d4bc3e42-6208-4335-ab49-8080a183ef3a/resource/db5fdd64-6d69-4e27-9961-942d2002b209/download/historico-porcentaje-de-delitos-con-inicio-de-carpeta-de-investigacion-que-no-se-resolvio-nada.csv
porcentaje de disminucion del tiempo promedio de traslado en los nuevos corredores y lineas de transporte publico,porcentaje que mide la variacion en el tiempo promedio de traslado en los nuevos corredores y lineas de transporte publico de la ciudad de mexico.,descendente,porcentaje,2023-10-17 19:06:07.335955,2023-10-17 19:06:07.308035,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/e018a1a3-3ca7-4a1a-bca9-f05251b3fbf6/resource/c3802beb-e14b-405e-a256-2dae47951465/download/historico-porcentaje-de-disminucion-del-tiempo-promedio-de-traslado-en-los-nuevos-corredores-y-.csv
porcentaje de disminucion en la percepcion de inseguridad en el transporte publico,porcentaje que mide la disminucion en la percepcion de las mujeres acerca de la inseguridad en el transporte publico de la ciudad de mexico.,descendente,porcentaje,2023-10-17 19:05:53.809736,2023-10-17 19:05:53.781138,derecho a la seguridad ciudadana y a la prevencion de la violencia y del delito,"paz, justicia e instituciones solidas",pim,trimestral,calidad,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/2b64c9a5-9076-4e9c-b0af-36be4981f211/resource/fc9f9aa6-b0af-4a43-a5de-229505119b7f/download/historico-porcentaje-de-disminucion-en-la-percepcion-de-inseguridad-en-el-transporte-publico.csv
porcentaje de empresas que realizaron proyectos de innovacion,porcentaje de empresas que realizaron proyectos de innovacion respecto al total de empresas.,ascendente,porcentaje,2023-10-17 19:06:48.903832,2023-10-17 19:06:48.877428,derecho a la ciencia y a la innovacion tecnologica,"industria, innovacion e infraestructura",pdcti,no determinada,eficacia,inegi,"inegi, encuesta sobre investigacion y desarrollo tecnologico (esidet)",https://www.inegi.org.mx/programas/esidet/2017/,https://indicadores.cdmx.gob.mx/dataset/2908b7fa-5fad-4bd7-8ceb-bcb3ef22e621/resource/c2781a2a-cdb0-4d08-812c-ea11647872f4/download/historico-porcentaje-de-empresas-que-realizaron-proyectos-de-innovacion.csv
porcentaje de entidades y dependencias con programas y proyectos con asesoria en ctih,"en el 2020, 8 entidades y dependencias tienen  programas y proyectos con asesoria en ciencia, tecnologia, innovacion y humanidades.",ascendente,porcentaje,2023-10-17 19:06:45.898948,2023-10-17 19:06:45.870588,derecho a la ciencia y a la innovacion tecnologica,"industria, innovacion e infraestructura",pdcti,no determinada,eficacia,apcdmx,"lopeap, apcdmx, portal de transparencia de la cdmx",no disponible,https://indicadores.cdmx.gob.mx/dataset/e3401b38-8ae5-4301-857e-c97f4c32962f/resource/80e2760f-d9c3-40d8-9824-4d3c18815b4b/download/historico-porcentaje-de-entidades-y-dependencias-con-programas-y-proyectos-con-asesoria-en-ctih.csv
porcentaje de estaciones de metrobus adaptadas con accesibilidad universal,porcentaje de estaciones de metrobus que cuentan con las adaptaciones para una accesibilidad universal en la ciudad de mexico.,ascendente,porcentaje,2023-10-17 19:05:19.247298,2023-10-17 19:05:19.219112,derechos de personas con discapacidad,reduccion de las desigualdades,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/cc27b811-1b4d-44f1-ae38-2439d811617e/resource/33608cc9-05ea-45de-92ad-bbe2982136af/download/historico-porcentaje-de-estaciones-de-metrobus-adaptadas-con-accesibilidad-universal.csv
porcentaje de flota de movilidad renovada,"porcentaje de la flota de autobuses de transporte publico de la red de movilidad integrada (metrobus, rtp y ste) que ha sido renovada en la ciudad de mexico.",ascendente,porcentaje,2023-10-17 19:05:38.890743,2023-11-07 17:10:30.457979,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/90fd8229-97ba-4054-bdec-5ff8e601074d/resource/85f25373-d6ff-4eac-887b-faf36ead3caa/download/historico-porcentaje-de-flota-de-movilidad-renovada.csv
porcentaje de incremento en los kilometros de la red de transporte con electromovilidad,"porcentaje de incremento en los kilometros de la red de transporte con electromovilidad. con la finalidad de garantizar un transporte eficiente y amigable con el medio ambiente, la ciudad de mexico ha apostado por la electromovilidad en beneficio de la ciudadania, fortaleciendo la red de movilidad integrada de la capital.",ascendente,porcentaje,2023-10-17 19:05:27.438065,2023-11-07 16:46:34.390585,derecho al desarrollo sustentable,accion por el clima,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/bee87823-5730-44b2-9689-7d330a0d6fa5/resource/6eaa8932-3ce7-4671-9651-d5c74c47a801/download/historico-porcentaje-de-incremento-en-los-kilometros-de-la-red-de-transporte-con-electromovilid.csv
porcentaje de ingresos por impuestos del gobierno de la ciudad de mexico,porcentaje de ingresos por impuestos del gobierno de la ciudad de mexico con relacion al total de ingresos.,ascendente,porcentaje,2023-10-17 19:05:56.824606,2024-07-19 22:49:32.916326,derecho a la buena administracion publica,"paz, justicia e instituciones solidas",pgd,anual,economia,saf,"saf, cuenta publica",https://servidoresx3.finanzas.cdmx.gob.mx/egresos/cp2023_24/,https://indicadores.cdmx.gob.mx/dataset/c63d0d99-c42c-445d-8afe-7bb6ba451176/resource/e671d1e7-0492-4175-a2c6-79327a6148b2/download/historico-porcentaje-de-ingresos-por-impuestos-del-gobierno-de-la-ciudad-de-mexico-con-relacion.csv
porcentaje de la poblacion con acceso a seguridad social,porcentaje de la poblacion que no presenta carencia por acceso a la seguridad social.,ascendente,porcentaje,2023-10-17 19:06:29.886268,2023-11-09 22:07:08.009993,derecho a la salud,salud y bienestar,pgd,bienal,eficacia,coneval,medicion de la pobreza,https://www.coneval.org.mx/medicion/mp/paginas/pobreza_2022.aspx,https://indicadores.cdmx.gob.mx/dataset/7407dcc4-5a80-45ff-ac3d-daa49e856f31/resource/6a04ce9b-f2db-4efc-936b-e8c90c8bd7f0/download/historico-porcentaje-de-la-poblacion-con-acceso-a-seguridad-social.csv
porcentaje de la poblacion con acceso a servicios de salud publicos,"porcentaje de la poblacion con acceso a servicios de salud publicos: imss, issste, issste estatal, pemex, defensa, marina, centro de salud u hospital de la ssa, servicios medicos que proporciona la ciudad de mexico, insabi e imss-bienestar.",ascendente,porcentaje,2023-10-17 19:06:45.582250,2023-11-13 23:50:37.798040,derecho a la salud,salud y bienestar,pgd,bienal,eficacia,coneval,medicion de la pobreza,https://www.coneval.org.mx/medicion/mp/paginas/pobreza_2022.aspx,https://indicadores.cdmx.gob.mx/dataset/031b89d7-24b7-4ddd-9277-f59c619c3782/resource/79dc0852-b6f0-450a-b47a-08dbf74efb59/download/historico-porcentaje-de-la-poblacion-con-acceso-a-servicios-de-salud-publicos.csv
porcentaje de la poblacion con carencia por acceso a la alimentacion nutritiva y de calidad,"porcentaje de la poblacion con carencia por acceso a la alimentacion nutritiva y de calidad, respecto de la poblacion total, segun el estudio de medicion de pobreza del coneval.",descendente,porcentaje,2023-10-17 19:06:09.707314,2023-11-13 23:55:54.701867,derecho a la alimentacion y a la nutricion,hambre cero,pgd,bienal,eficacia,coneval,"coneval, medicion de la pobreza",https://www.coneval.org.mx/medicion/mp/paginas/pobreza_2022.aspx,https://indicadores.cdmx.gob.mx/dataset/6aa14571-e90b-48b6-98a7-fc56f64c0e3d/resource/fcaf00c2-453b-43f5-9007-517ddd1024e7/download/historico-porcentaje-de-la-poblacion-con-carencia-por-acceso-a-la-alimentacion-nutritiva-y-de-c.csv
porcentaje de la poblacion con desarrollo social bajo o muy bajo,"porcentaje de la poblacion que habita en zonas (manzanas) con grado de desarrollo social bajo o muy bajo. 
el grado de desarrollo social se clasifica en 5 categorias, de acuerdo al nivel del indice de desarrollo social (ids) establecido por evalua: muy bajo, bajo, medio, alto y muy alto.",descendente,porcentaje,2023-10-17 19:05:19.555543,2025-01-21 18:54:03.031267,derecho a la vida digna,fin de la pobreza,pgd,decenal,eficacia,evalua,"evalua, indice de desarrollo social (ids)",https://www.evalua.cdmx.gob.mx/principales-atribuciones/medicion-del-indice-de-desarrollo-social-de-las-unidades-territoriales/medicion-del-indice-de-desarrollo-social-de-las-unidades-territoriales,https://indicadores.cdmx.gob.mx/dataset/05dce57e-7b99-4831-afdf-5ece72c1bf8e/resource/8ca7da0c-a7e6-4fcc-b2e9-f6e0c275c1be/download/historico-porcentaje-de-la-poblacion-con-desarrollo-social-bajo-o-muy-bajo.csv
"porcentaje de la poblacion con grados de marginacion: muy alta, alta y media, con cobertura de transporte publico masivo","porcentaje de la poblacion que se encuentra en grados de marginacion: muy alta, alta y media, que se encuentran en un area que tiene cobertura de transporte publico masivo en la ciudad de mexico. se cuenta la cantidad de personas en dicha situacion 2019 como el 100% y se busca disminuir ese porcentaje.",ascendente,porcentaje,2023-10-17 19:06:03.747333,2023-11-07 16:05:49.194134,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/597f9b44-7bc3-42ee-8624-f801c79e74a8/resource/be2dec8f-06e7-48ac-a69f-b3dbcc69d025/download/historico-porcentaje-de-la-poblacion-con-grados-de-marginacion-muy-alta-alta-y-media-con-cobert.csv
porcentaje de la poblacion con rezago educativo,porcentaje de la poblacion que presenta la carencia debida al indicador de rezago educativo construido por coneval.,descendente,porcentaje,2023-10-17 19:06:13.627441,2023-11-14 16:13:49.954320,derecho a la educacion,educacion de calidad,pgd,bienal,eficacia,coneval,medicion de la pobreza,https://www.coneval.org.mx/medicion/mp/paginas/pobreza_2022.aspx,https://indicadores.cdmx.gob.mx/dataset/6d7cde35-7c48-40e8-a284-bf6270bdf8b4/resource/699966f7-7936-411d-b18e-4210d27c194e/download/historico-porcentaje-de-la-poblacion-con-rezago-educativo.csv
porcentaje de la poblacion de 18 a 29 años con estudios de educacion media superior,porcentaje de la poblacion con estudios de educacion media superior dentro de la poblacion en el rango de edad de 18 a 29 años.,ascendente,porcentaje,2023-10-17 19:05:29.310349,2023-10-17 19:05:29.282422,derecho a la educacion,educacion de calidad,pgd,quinquenal,eficacia,inegi,muestra censal,https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/3ff0ef1a-d2a5-4093-b7f3-cd1c5125eea8/resource/4ceba378-7f98-48ca-bc40-e4e9180592ea/download/historico-porcentaje-de-la-poblacion-de-18-a-29-anos-con-estudios-de-educacion-media-superior.csv
"porcentaje de la poblacion de 18 a 29 años que estudia alguna licenciatura o posgrado en ciencias, tecnologia, ingenieria, matematicas, artes o diseño","porcentaje de la poblacion que estudia alguna licenciatura o posgrado en ciencias, tecnologia, ingenieria, matematicas, artes o diseño, respecto de la poblacion en el rango de edad de 18 a 29 años.",ascendente,porcentaje,2023-10-17 19:06:20.848965,2023-10-17 19:06:20.823395,derecho a la ciencia y a la innovacion tecnologica,educacion de calidad,pgd,quinquenal,eficacia,inegi,"censo de poblacion y vivienda 2020, cuestionario ampliado",https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/03fe367a-184f-4880-9d58-3ce7071b9c31/resource/c86ed753-e050-4ea1-a5fe-dbbf700ad7e4/download/historico-porcentaje-de-la-poblacion-de-18-a-29-anos-que-estudia-alguna-licenciatura-o-posgrado.csv
porcentaje de la poblacion de 18 años y mas que considera que vivir en la ciudad de mexico es inseguro,"porcentaje de personas, respecto de la poblacion de 18 años o mas, que consideran que vivir en la ciudad de mexico es inseguro.",descendente,porcentaje,2023-10-17 19:07:27.270226,2024-09-19 19:25:17.037336,derecho a la seguridad ciudadana y a la prevencion de la violencia y del delito,"paz, justicia e instituciones solidas",pgd,anual,calidad,inegi,"inegi, encuesta nacional de victimizacion y percepcion sobre seguridad publica (envipe)",https://www.inegi.org.mx/programas/envipe/2023/,https://indicadores.cdmx.gob.mx/dataset/0989fb5a-8659-4939-95cb-b41f961010c5/resource/ea4c9ad1-db21-4e13-bb90-ce6bf843c143/download/historico-porcentaje-de-la-poblacion-de-18-anos-y-mas-que-considera-que-vivir-en-la-ciudad-de-m.csv
porcentaje de la poblacion de 18 años y mas que considera que vivir en su alcaldia es inseguro,"porcentaje de personas, respecto de la poblacion de 18 años o mas, que consideran que vivir en su alcaldia es inseguro.",descendente,porcentaje,2023-10-17 19:05:58.663514,2024-09-19 19:21:13.805273,derecho a la seguridad ciudadana y a la prevencion de la violencia y del delito,"paz, justicia e instituciones solidas",pgd,anual,calidad,inegi,"inegi, encuesta nacional de victimizacion y percepcion sobre seguridad publica (envipe)",https://www.inegi.org.mx/programas/envipe/2023/,https://indicadores.cdmx.gob.mx/dataset/caa6ebe4-064e-4954-b42e-980641931ac8/resource/82eee1ad-06f5-499e-ac78-389cfb1c0b7a/download/historico-porcentaje-de-la-poblacion-de-18-anos-y-mas-que-considera-que-vivir-en-su-alcaldia-es.csv
porcentaje de la poblacion de alvaro obregon que viaja mas de una hora desde su residencia a la escuela,porcentaje de personas que se trasladan de su residencia a la escuela con tiempos mayores a una hora.,,porcentaje,2024-08-07 19:43:02.332232,2024-08-07 19:49:46.334834,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/2649aa9e-11d2-4f7f-8c55-51fb250e5a6a/resource/0954ae18-633a-4cb6-b2da-cdec9b1d9f3c/download/historico-traslado-escuela-alvaro-obregon.csv
porcentaje de la poblacion de alvaro obregon que viaja mas de una hora desde su residencia al trabajo,porcentaje de personas que se trasladan de su residencia a la trabajo con tiempos mayores a una hora.,,porcentaje,2024-08-02 00:01:44.867039,2024-08-07 17:17:46.870087,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/5562f869-5b08-4247-82dc-c7c4cbcbd6f5/resource/b73c70fb-b713-4083-959a-de062bd5f85d/download/historico-traslado-trabajo-alvaro-obregon.csv
porcentaje de la poblacion de azcapotzalco que viaja mas de una hora desde su residencia al trabajo,porcentaje de personas que se trasladan de su residencia a la trabajo con tiempos mayores a una hora.,,porcentaje,2024-08-02 00:02:46.963080,2024-08-07 17:17:41.877388,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/364d3a09-499c-4235-ab79-e2563d36b754/resource/7696dccd-3eb2-4f29-80cc-cb043ab9c174/download/historico-traslado-trabajo-azcapotzalco.csv
porcentaje de la poblacion de azcapotzalco que viaja mas de una hora de su residencia a la escuela,porcentaje de personas que se trasladan de su residencia a la escuela con tiempos mayores a una hora.,,porcentaje,2024-08-07 19:32:42.047602,2024-08-07 19:49:41.352568,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/604b92f0-2d5a-43a9-8f09-afb479ce314a/resource/21da8008-9894-4809-b046-b16bccc69884/download/historico-traslado-escuela-azcapotzalco.csv
porcentaje de la poblacion de benito juarez que viaja mas de una hora desde su residencia al trabajo,porcentaje de personas que se trasladan de su residencia a la trabajo con tiempos mayores a una hora.,,porcentaje,2024-08-02 00:01:15.245698,2024-08-07 17:17:50.180772,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/ed5a27b4-5446-42b0-85b7-8a984928915b/resource/3ee72bb0-af47-40d4-92c3-80e48fc33cae/download/historico-traslado-trabajo-benito-juarez.csv
porcentaje de la poblacion de benito juarez que viaja mas de una hora desde su residencia a la escuela,porcentaje de personas que se trasladan de su residencia a la escuela con tiempos mayores a una hora.,,porcentaje,2024-08-07 19:43:05.768527,2024-08-07 19:49:49.241717,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/5b2eecd9-b2c5-45ce-94d2-4c5ba2ec99ff/resource/e195d322-3df7-4cc8-ae26-3e1a5bd7bf9a/download/historico-traslado-escuela-benito-juarez.csv
porcentaje de la poblacion de coyoacan que viaja mas de una hora desde su residencia a la escuela,porcentaje de personas que se trasladan de su residencia a la escuela con tiempos mayores a una hora.,,porcentaje,2024-08-07 19:35:48.968526,2024-08-07 19:49:41.942418,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/83222d8d-d388-4525-b5ae-c00139e420af/resource/70234925-3c45-411f-8af0-7d9458f782de/download/historico-traslado-escuela-coyoacan.csv
porcentaje de la poblacion de coyoacan que viaja mas de una hora desde su residencia al trabajo,porcentaje de personas que se trasladan de su residencia a la trabajo con tiempos mayores a una hora.,,porcentaje,2024-08-02 00:02:41.913153,2024-08-07 17:17:42.379527,derecho a la movilidad,ciudades y comunidades sostenibles,visor alcaldias,quinquenal,,inegi,"inegi, censo de poblacion y vivienda",https://www.inegi.org.mx/programas/ccpv/2020/,https://indicadores.cdmx.gob.mx/dataset/86e56199-175c-4082-9b69-cbeb9346e897/resource/c8f1c504-d363-4bad-9cde-35c479997233/download/historico-traslado-trabajo-coyoacan.csv
